"glass_type","component_j","component_k","baseline_r","max_absolute_change","median_absolute_change","minimum_r","maximum_r","sign_stability"
"铅钡",3,10,-0.0806002332811004,0.163679732002195,0.00599624820010253,-0.166017229199562,0.0830794987210943,0.975
"铅钡",3,11,-0.304723869346192,0.0595383167880159,0.0101769661536269,-0.361115038781916,-0.245185552558176,1
"铅钡",3,12,-0.265354112529637,0.0656918870469309,0.00927704299327356,-0.3182736541885,-0.199662225482706,1
"铅钡",3,13,0.0419051642023464,0.0865349246787847,0.00855878119885213,-0.00763445125628107,0.128440088881131,0.975
"铅钡",3,14,-0.0884794205922686,0.153644299595217,0.00700698576728385,-0.141259724505376,0.0651648790029484,0.975
"铅钡",4,5,-0.0145588989726392,0.098213532383034,0.00998626046854149,-0.112772431355673,0.0752049007497714,0.85
"铅钡",4,6,-0.336293156554504,0.0513068545001685,0.0053013245462705,-0.375681205070657,-0.284986302054335,1
"铅钡",4,7,0.20123829444502,0.125279347899338,0.00874559391195889,0.142085498273388,0.326517642344357,1
"铅钡",4,8,-0.279482433659153,0.0539758302502215,0.0051010025892726,-0.326865540481416,-0.225506603408931,1
"铅钡",4,9,0.123548152930095,0.134282891772973,0.00579330706219271,0.0311631796364374,0.257831044703069,1
"铅钡",4,10,-0.067251732704916,0.238599114109604,0.00423966089446203,-0.30585084681452,0.0453419180627633,0.975
"铅钡",4,11,0.168791870606677,0.118763895741871,0.00636407303366278,0.0596480950206175,0.287555766348549,1
"铅钡",4,12,0.0779470010722535,0.149709991637697,0.00493867146823853,-0.0717629905654436,0.212030872107728,0.95
"铅钡",4,13,0.0370674613678593,0.110261718736334,0.0044566343620541,-0.0731942573684751,0.0671970316253156,0.975
"铅钡",4,14,0.0105264263527887,0.0598621379329252,0.0035098837097061,-0.0493357115801365,0.0323975192604386,0.9
"铅钡",5,6,0.410693685597871,0.0969549281720627,0.00942466972823641,0.326637715698552,0.507648613769933,1
"铅钡",5,7,0.103299298652924,0.0767924827530891,0.0197005912885825,0.0265068158998348,0.155326704759962,1
"铅钡",5,8,-0.289825620905861,0.059983076627184,0.0107192519201762,-0.349808697533045,-0.238528213590355,1
"铅钡",5,9,-0.206563347984303,0.0814116146896616,0.0146929001989897,-0.287974962673965,-0.171290115985575,1
"铅钡",5,10,-0.52805299936826,0.0260824572796333,0.00640147987256001,-0.554135456647893,-0.504080873053755,1
"铅钡",5,11,-0.027404440648597,0.0626959755644569,0.014506360001035,-0.0901004162130539,0.0326286602062301,0.875
"铅钡",5,12,0.0205187220803414,0.0802092382735089,0.00918274874553466,-0.0596905161931675,0.0783944071974761,0.775
"铅钡",5,13,0.0894599362647757,0.0559198159218359,0.00806230399829354,0.0335401203429397,0.120706734066684,1
"铅钡",5,14,-0.564445233505777,0.0633361187334922,0.00499352864308489,-0.586754365309249,-0.501109114772285,1
"铅钡",6,7,0.203664125537772,0.0949261729975405,0.0142605363385711,0.108737952540232,0.243360116807293,1
"铅钡",6,8,-0.226044414625151,0.0999685182389318,0.00592880013662367,-0.326012932864083,-0.142044125901681,1
"铅钡",6,9,-0.266426530914206,0.0758784333581184,0.00876598599410811,-0.342304964272325,-0.200272844020752,1
"铅钡",6,10,-0.338008209406635,0.0507619119457809,0.00432695445969197,-0.374574602947402,-0.287246297460854,1
"铅钡",6,11,-0.315828388842643,0.0683818392801764,0.00909735883687979,-0.38421022812282,-0.256605828899689,1
"铅钡",6,12,-0.393605267546621,0.0985326357767051,0.00439443129263606,-0.492137903323326,-0.354464594912231,1
"铅钡",6,13,0.21955960403091,0.0686110298417763,0.00677292106457732,0.150948574189134,0.2598383241446,1
"铅钡",6,14,-0.476967541457419,0.159485090299804,0.00520919614909837,-0.516972019391348,-0.317482451157615,1
"铅钡",7,8,-0.496838473763456,0.0668159986596539,0.00905027139266748,-0.5499391131038,-0.430022475103802,1
"铅钡",7,9,-0.0657825007642135,0.0453732710412303,0.0168878891336366,-0.0975290757943167,-0.0204092297229832,1
"铅钡",7,10,-0.332608832894976,0.120242797364215,0.00536161092406007,-0.452851630259191,-0.280738114179866,1
"铅钡",7,11,0.112678882230645,0.0638837137727935,0.0158632566061649,0.0487951684578511,0.171528973432041,1
"铅钡",7,12,-0.194445224709006,0.054996035006502,0.0112865705665849,-0.249441259715508,-0.143216262294866,1
"铅钡",7,13,0.218988084043737,0.139167704169614,0.0087119348845789,0.0798203798741237,0.269277728819998,1
"铅钡",7,14,-0.465323564499552,0.0623164107644967,0.00516682866603049,-0.497547293420154,-0.403007153735056,1
"铅钡",8,9,0.131815321030706,0.122138534067935,0.0097927904057075,0.00967678696277034,0.247138818782481,1
"铅钡",8,10,0.220831132098425,0.0847845811790454,0.00418874917892763,0.1850470899493,0.305615713277471,1
"铅钡",8,11,0.0718740967436118,0.0984970674370214,0.00661671393580602,-0.0266229706934096,0.126472057435017,0.975
"铅钡",8,12,0.00906971695505722,0.0732451783477595,0.00658400504993907,-0.0582166637517453,0.0823148953028167,0.75
"铅钡",8,13,-0.56732047651293,0.182223211248546,0.00329071296795869,-0.611803407575436,-0.385097265264384,1
"铅钡",8,14,0.386127534481157,0.0553609765662283,0.00300039230166438,0.330766557914929,0.404999117253648,1
"铅钡",9,10,-0.0817406514741246,0.142413632697813,0.00655004893745166,-0.142892509948991,0.0606729812236887,0.95
"铅钡",9,11,0.163515564051569,0.0714077789707407,0.0102478759606162,0.0953665575370526,0.23492334302231,1
"铅钡",9,12,0.141694479567348,0.0914723292309642,0.00677813751414763,0.0502221503363841,0.214968041702626,1
"铅钡",9,13,0.00429197339331716,0.179783723825662,0.00718588205543711,-0.0368568826909153,0.184075697218979,0.475
"铅钡",9,14,0.000932984375030425,0.0668334776314304,0.00467476129400395,-0.0332437247040182,0.0677664620064609,0.525
"铅钡",10,11,-0.306665140269122,0.0819172335736404,0.00475653161525244,-0.348596431969135,-0.224747906695481,1
"铅钡",10,12,0.00273204655993985,0.174186744247692,0.00446157567420051,-0.161382929471307,0.176918790807632,0.65
"铅钡",10,13,-0.00151100012354863,0.0373323137752404,0.00389305987208761,-0.038843313898789,0.0279288321736159,0.6
"铅钡",10,14,0.281443293399004,0.0625030074662818,0.00276124774916894,0.218940285932722,0.319599443329851,1
"铅钡",11,12,0.0612725898186707,0.0906660998393559,0.00973040008378728,-0.0293935100206852,0.123805457556722,0.95
"铅钡",11,13,-0.156849542999958,0.0819018292255451,0.00857618488849315,-0.21867140610216,-0.0749477137744124,1
"铅钡",11,14,0.179640675374564,0.0840737634754802,0.00571679354677769,0.0955669118990835,0.20541174894593,1
"铅钡",12,13,-0.136130144878921,0.0797413743263619,0.0074528523449849,-0.215871519205283,-0.108897086618332,1
"铅钡",12,14,0.111754790810533,0.0595384363081931,0.00386576670949181,0.0522163545023398,0.129405077017604,1
"铅钡",13,14,-0.181384208932658,0.0506671038806636,0.00413665965292559,-0.206770452651428,-0.130717105051994,1
